,Drone Project BOM,,,,
,Item Description,QTY,Unit Price,Total,Link
,4x 2300kV Brushless Motors,1,36,36,https://www.amazon.com/Readytosky-MT2204-2300KV-Brushless-Quadcopters/dp/B07ZCL45RR/ref=m_crc_dp_lf_d_t1_d_sccl_3_1/143-8357289-9799324?pd_rd_i=B07ZCL45RR&psc=1
,5'' Propellors (Set of 4),1,17,17,https://www.amazon.com/12pcs-HQProp-Tri-Blade-Propeller-Quadcopter/dp/B07XGHYKLB/ref=sr_1_1_sspa?keywords=5%27%27+propellers&s=toys-and-games&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
,,,,0,
,Flight Controller + ESC Stack,1,80,80,https://www.amazon.com/SpeedyBee-F405-Flight-Controller-Stack/dp/B0C2VKDLFK?ref_=ast_sto_dp
,Nano RX Antenna + Receiver,1,24,24,https://www.amazon.com/FrSky-R-XSR-Redundancy-Telemetry-Receiver/dp/B074QHJRBC/ref=sr_1_5?keywords=accst%2B16%2Breceiver+2.4GHz+drone&sr=8-5
,M3 Screw Assortment Set,1,8,8,https://www.amazon.com/mxuteuk-440PCS-Assortment-Assorted-G035-M3/dp/B0C7ZPZ214/ref=sr_1_6?keywords=m3+screws+and+nuts&s=industrial&sr=1-6
,Aluminum Standoffs (10 pc),1,10,10,https://www.amazon.com/uxcell-Aluminum-Standoff-Fastener-Quadcopter/dp/B01N7VAHEY/ref=sr_1_25?keywords=threaded%2Bstandoff%2Bm3.5&s=industrial&sr=1-25&th=1
,Li-Po Battery + Charger,1,22,22,https://www.amazon.com/Hosim-Connector-Rechargeable-Charging-Airplane/dp/B076WWND7N/ref=sr_1_6?keywords=1500+mah+lipo+and+charger+for+fpv+drone&sr=8-6
,Wireless RC Transmitter,1,103,103,https://www.amazon.com/FrSky-Taranis-Channels-Access-Transmitter/dp/B07RQ4564C/ref=sr_1_3?keywords=frsky%2Baccst%2Bdrone%2Btransmitter%2B2.4GHz&sr=8-3&th=1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Total Price,,,,300,
